@relation "asm"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.objectweb.asm.tree.analysis.AnalyzerException,java.lang.IllegalStateException,java.lang.AssertionError,java.lang.UnsupportedOperationException,java.lang.IllegalArgumentException,org.objectweb.asm.tree.UnsupportedClassVersionException}

@data
80,"IfStatement","null",true,"is interface ","boolean ","","","","",java.lang.IllegalArgumentException
81,"IfStatement","null",true,"is interface ","boolean ","","","","",java.lang.IllegalArgumentException
82,"IfStatement","null",false,"","org.objectweb.asm.commons.AnalyzerAdapter java.lang.Class ","","getClass ","","",java.lang.IllegalStateException
83,"SwitchStatement","null",false,"argument type ","org.objectweb.asm.Type int ","","getSort ","","",java.lang.AssertionError
84,"IfStatement","null",true,"f_new type ","int org.objectweb.asm.Opcodes ","","","","",java.lang.IllegalArgumentException
85,"IfStatement","null",false,"sort method ","int org.objectweb.asm.Type ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
86,"IfStatement","null",true,"value ","java.lang.Object org.objectweb.asm.ConstantDynamic ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
87,"SwitchStatement","null",true,"index descriptor ","java.lang.String int char ","","charAt ","","",java.lang.AssertionError
88,"SwitchStatement","null",true,"opcode ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
89,"SwitchStatement","null",true,"int arg ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
90,"SwitchStatement","null",true,"opcode ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
91,"IfStatement","null",false,"","org.objectweb.asm.commons.JSRInlinerAdapter java.lang.Class ","","getClass ","","",java.lang.IllegalStateException
92,"IfStatement","null",false,"ret label ","org.objectweb.asm.tree.LabelNode ","NULL ","","","java.lang.AssertionError ",java.lang.IllegalArgumentException
93,"IfStatement","null",false,"end handler start ","org.objectweb.asm.tree.LabelNode ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.AssertionError
94,"IfStatement","null",true,"subroutine insns instantiation ","java.util.BitSet org.objectweb.asm.commons.JSRInlinerAdapter.Instantiation ","","","","",java.lang.IllegalArgumentException
95,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
96,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
97,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
98,"SwitchStatement","null",true,"type ","int ","","","","",java.lang.IllegalArgumentException
99,"SwitchStatement","null",false,"type ","int ","","","","",java.lang.IllegalArgumentException
